Engleza,Romana
I'll pay double the price.,Voi plăti dublu.
I didn't know Tom could cook so well.,Nu știam că Tom poate găti așa bine.
"After he heard the news, Tom was in seventh heaven.","După ce a auzit știrea, Tom era în al nouălea cer."
Perhaps you could learn a thing or two from Tom.,Poate c-ai avea ceva de invatat de la Tom.
People with physical disabilities abhor being pitied.,Persoanele cu dizabilități fizice detestă să fie compătimite.
What do you want?,Ce vrei?
No one could find the answer.,Nimeni nu a putut să găsească răspunsul.
It was a mouse.,A fost un șoarece.
He pressed the brake pedal.,El a apăsat pedala de frână.
They have twin daughters.,Ei au fiice gemene.
Haven't you had your dinner?,N-ai luat masa de seară?
Would you like to go shopping with me?,Ai vrea să mergi cu mine la cumpărături?
Do you have any questions about the menu?,Aveți vreo întrebare despre meniu?
Tom is playing cards with Mary.,Tom joacă cărți cu Mary.
I was about to leave when you telephoned.,Eram pe cale să plec când ai telefonat.
She lives with him in a small apartment.,Ea locuiește cu el într-un mic apartament.
There was a cat on the table.,O pisică a fost pe masă.
It's very warm today.,Azi e foarte cald.
"To the best of my knowledge, Tom can't swim.","După câte știu, Tom nu poate înota."
"I'm sorry, I can't stay long.","Îmi pare rău, nu pot sta mult."
They are actors.,Ei sunt actori.
All that glitters is not gold.,Nu tot ceea ce strălucește este aur.
Tom said he had to tell someone about his problems.,Tom a zis că a trebuit să spună cuiva despre problemele sale.
Tom won't come here again.,Tom nu va mai veni pe aici.
Are you feeling sick?,Ți-e rău?
She made it plain that she wanted to go to college.,Ea a spus clar că vrea să meargă la facultate.
"It's a nice place, but I wouldn't live there.","E un loc fain, dar nu vrea să locuiesc acolo."
It sounds like the faucet in the kitchen is dripping.,Se pare că robinetul din bucătărie picură.
My major is agriculture.,Specializarea mea este agricultura.
The police arrested the suspect yesterday.,Poliția a arestat suspectul ieri.
I wouldn't want to be a judge.,Nu aș vrea să fiu judecător.
Dry wood burns quickly.,Lemnul uscat arde rapid.
I received a sweater from her on my birthday.,Am primit un pulover de la ea de ziua mea.
I apologize for having to leave.,Îmi cer scuze pentru că trebuie să plec.
Where did you lose your umbrella?,Unde ți-ai pierdut umbrela?
I'm not one to gossip.,Nu sunt unul care bârfește.
That's a good approach.,Asta este o abordare bună.
Now that's funny.,Acum asta este amuzant.
Will Tom be allowed to go camping with the other children?,Va avea Tom voie să meargă în tabără cu ceilalți copii?
The furniture in this office is really modern.,Mobilierul din acest birou este foarte modern.
Who discovered radium?,Cine a descoperit radiu?
How did you manage to escape?,Cum ai reușit să scapi?
You have to stop.,Trebuie să te opreşti.
Do you like this flower?,Îți place floarea aceasta?
My sister will have finished her homework before she goes to Hokkaido.,Sora mea va trebui să îşi termine temele înainte de a pleca la Hokkaido.
Tom doesn't enjoy hanging out with Mary.,Tom nu se bucură să-și petreacă vremea cu Mary.
He admitted that he was guilty.,El a recunoscut că e vinovat.
The burglar locked the couple in the basement.,Hoțul a încuiat cuplul în beci.
I wasn't afraid.,Nu mi-a fost frică.
My father is always busy.,Tatăl meu este întotdeauna ocupat.
You must study hard.,Trebuie să studiezi din greu.
You can't ride a horse.,Tu nu poți călări un cal.
Something is making the door stick.,Ceva face ca ușa să se blocheze.
Tom is not as fat as I am.,Tom nu este așa de gras ca mine.
Love is crazy.,Iubirea este o nebunie.
Don't confuse desire with love.,Nu confunda dorința cu dragostea.
Most people say that the best way to learn a foreign language is to learn from a native speaker.,Majoritatea oamenilor spun că cel mai bun mod de a învăţa o limbă străină este să o înveţi de la un vorbitor nativ.
Is there anything else to eat?,Mai este și altceva de mâncare?
Don't be afraid to ask for help.,Nu-ți fie teamă să ceri ajutor.
That was the deal.,Asta a fost înțelegerea.
He might retaliate.,El s-ar putea răzbuna.
Tom fumbled with his keys.,Tom se juca cu cheile.
Tom doesn't like the way Mary looks at him.,Lui Tom nu-i place felul în care Mary se uită la el.
Tom started singing a song.,Tom a început să cânte o melodie.
My mother is a very good cook.,Mama mea e o foarte bună bucătăreasă.
How much is a room?,Cât costă o cameră?
Tom didn't think I noticed.,Tom nu se gândea că am observat.
The president was willing to support the bill.,Președintele a fost dispus să sprijine proiectul de lege.
Prices depend on supply and demand.,Prețurile depind de cerere și ofertă.
You're mine.,Ești a mea.
Don't panic!,Nu te panica!
I'll never forget how kind you have been.,Nu voi uita niciodată cât de bun ai fost.
I need someone to talk to.,Am nevoie de cineva cu care să vorbesc.
I get along well with her.,Mă înțeleg bine cu ea.
I have high blood pressure.,Am tensiunea mare.
You must prepare yourself for the worst.,Trebuie să te pregătești tu însuți pentru ce este cel mai rău.
He was refused medical treatment.,Lui i s-a refuzat tratamentul medical.
Slow and steady wins the race.,Încet şi fără grabă se câştigă cursa.
Let's start over.,Să începem din nou.
He explained in detail what he had seen.,El a explicat în detaliu ceea ce văzuse.
The other policemen began shooting at the crowd.,Ceilalți polițiști au început să tragă în mulțime.
Tom shot at Mary with a crossbow.,Tom a tras în Mary cu o arbaletă.
"If you take a nap here, you'll catch a cold.","Dacă tragi un pui de somn aici, o să răcești."
She waited for you for two hours.,Te-a aşteptat două ore.
We put the desk by that window.,Am pus biroul lângă acea fereastră.
A nod is a sign of agreement.,A clătina capul sus-jos repetat este un semn de încuviinţare.
French people don't think of anything as impossible.,Francezii nu se gândesc la un lucru ca fiind imposibil.
I'll bite the bullet.,Voi lua taurul de coarne.
You'd be surprised what you can learn in a week.,Ai fi surprins de ceea ce se poate învăța într-o săptămână.
This is the most beautiful flower in the garden.,Aceasta este cea mai frumoasă floare din grădina.
I was correct.,Am avut dreptate.
"Can you pay attention, please?",Puteți fi vă rog atente?
Please wait for five minutes.,"Așteptați cinci minute, vă rog."
Don't rip me off!,Nu mă fraieri!
A friend in need is a friend indeed.,Prietenul la nevoie se cunoaște.
Nobody can stop me!,Nimeni nu mă poate opri!
Where is my office?,Unde e biroul meu?
You have potential.,Ai potențial.
I'll read the book.,Eu voi citi cartea.
I can teach you a thing or two.,Te pot invata cite ceva.
How can you say that?,Cum poți spune așa ceva?
Taking off is easier than landing.,Decolarea e mai ușoară decât aterizarea.
"You like rain, don't you?","Îți place ploaia, nu-i așa?"
She always forgets my telephone number.,Ea uită întotdeauna numărul meu de telefon.
Don't take that too literally.,Nu o lua ad litteram!
Are you sure you don't remember what happened?,Ești sigur că nu-ți amintești ce s-a întâmplat?
We'll meet at the station.,Ne vom întâlni la stație.
Tom helped us all.,Tom ne-a ajutat pe toți.
Let's stop here for today.,Să ne oprim aici pentru azi.
I'm not planning to go anywhere today.,Nu am în plan să merg nicăieri astăzi.
Have you fed the dog?,Ai hrănit câinele?
"Tom acted happy, but deep inside he was sad.","Tom s-a comportat ca și cum ar fi fost fericit, dar în interior era supărat."
Let me pay tonight.,Lasă-mă să plătesc diseară.
I didn't mean to eavesdrop on your conversation.,Nu am intenționat să trag cu urechea la conversația voastră.
I miss Boston.,Îmi lipsește Bostonul.
The man who shot him was Sirhan Bishara Sirhan.,Bărbatul care l-a împușcat era Sirhan Bishara Sirhan.
Get your friend to help you.,Vorbește cu prietenul tău să te ajute.
Would you like to study with me?,V-ar plăcea să studiați cu mine?
Tom is sitting by the window.,Tom stă la fereastră.
The company didn't admit wrongdoing.,Compania nu a recunoscut greșelile.
Which team won the game?,Care echipă a câştigat meciul?
That book is theirs.,Acea carte este a lor.
Do we have time?,Avem timp?
Someday you should give it a try.,Ar trebui să încerci într-o zi!
My head doesn't ache anymore.,Capul nu mă mai doare.
There's no life without hardships.,Nu există viață fără greutăți.
What's the craziest thing you've done lately?,Care e cel mai prostesc lucru pe care l-ai făcut în ultima vreme?
There is a television in my room.,Există un televizor în camera mea.
Tom should be congratulated.,Tom ar trebui să fie felicitat.
Tom got paint on his shirt while he was painting the fence.,Tom și-a pus vopsea pe cămașă în timp ce vopsea gardul.
Water power turns the wheel.,Puterea apei învârte roata.
Tom left some money for Mary.,Tom a lăsat niște bani pentru Mary.
We'll try this later.,Vom încerca asta mai târziu.
What have I done?,Ce am făcut?
We're exceedingly proud of you.,Suntem extrem de mândri de tine.
Tom ate a bowl of clam chowder.,Tom a mâncat un castron cu supă de scoici.
Tom hastily packed his suitcase.,El și-a făcut bagajul în grabă.
Does your mother know?,Mama ta știe?
I know what to look out for.,Știu după ce să mă uit.
"I said nothing, which made her angry.","N-am zis nimic, ceea ce a mâniat-o."
The children are beginning to get out of hand.,Copiii încep să ne scape de sub control.
The old houses were torn down to make room for a supermarket.,Casele vechi au fost dărâmate pentru a face loc pentru un supermagazin.
Keep an eye on him.,Stai cu ochii pe el.
Safety is the primary concern.,Siguranța este preocuparea principală.
Tom's car is blue.,Mașina lui Tom e albastră.
I can't reveal my sources.,Nu-mi pot dezvălui sursele.
Would you please turn down the TV?,"Vrei, te rog, să dai mai încet volumul la televizor?"
Tom could scarcely breathe.,Tom abia putea să respire.
Tom is painting.,Tom vopsește.
What other options do I have?,Ce alte opțiuni am?
It's not an emergency.,Nu e o urgență.
"They survived, even though the building was destroyed.",Au supraviețuit chiar dacă clădirea a fost distrusă.
It's been a pleasure working with you.,A fost o plăcere să lucrez cu tine.
I live in Europe.,Eu trăiesc în Europa.
I have heard the story.,Am auzit povestea.
I wish I could go to Japan.,Îmi doresc să fi putut merge în Japonia.
Do you speak English?,Vorbești engleza?
Further problems soon arose.,Mai multe probleme au apărut în scurt timp.
Reagan asked for military aid for the Contras.,Reagan a cerut ajutoare militare pentru contrarevoluționari.
My sister and I go to the movies from time to time.,Uneori mă duc cu sora mea la cinema.
Tom explained the rules to Mary.,Tom a explicat regulile lui Mary.
This is perfect.,Ăsta e perfect.
They bought a home with a pool.,Au cumpărat o casă cu piscină.
My primary concern is your safety.,Preocuparea mea principală este siguranța voastră.
Tom is good at cooking.,Tom este bun la gătit.
Japan is not as large as Canada.,Japonia nu este așa de mare precum Canada.
I want time instead of money.,Vreau timp nu bani.
Who painted this picture?,Cine a pictat acest tablou?
I'm busy with homework.,Sunt ocupat cu temele.
I will look the other way.,Îmi voi întoarce privirea.
Are you suggesting it's a design flaw?,Sugerezi că este un defect de proiectare?
I'm trying to be happy.,Încerc să fiu fericit.
I think Tom is broad-minded.,Cred că Tom este o persoană cu vederi largi.
The storm did a lot of harm to the crops.,Furtuna a făcut mult rău recoltei.
They went there.,Ei s-au dus acolo.
You are to stay here.,Vei sta aici.
That's one interpretation.,Este o interpretare.
Who made you come here?,Cine te-a făcut să vii aici?
"Now, let's see some enthusiasm.","Acum, să vedem un pic de entuziasm."
